04-01-2024 07:29 : DTC Install error = 0, Enter MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (367)
04-01-2024 07:29 : DTC Install error = 0, Action: None, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (396)
04-01-2024 07:29 : DTC Install error = 0, Entering CreateXATmSecurityKeyCNG, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (1700)
04-01-2024 07:29 : DTC Install error = 0, Exiting CreateXATmSecurityKeyCNG, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (1876)
04-01-2024 07:29 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-22-2024 21:45 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-22-2024 21:45 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
06-19-2025 22:30 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
06-19-2025 22:30 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
10-31-2025 08:15 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
10-31-2025 08:15 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-02-2025 21:07 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
12-02-2025 21:08 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
03-14-2026 14:56 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
03-14-2026 14:56 : DTC Install error = 0, Exit MsDtcAdvancedInstaller::Configure, onecore\base\wcp\plugins\msdtc\msdtcadvancedinstaller\msdtcadvancedinstaller.cpp (454)
