Level	Date and Time	Source	Event ID	Task Category
Critical	13-05-2026 15:19:07	Microsoft-Windows-WinREAgent	4502	None	Windows Recovery Environment servicing failed.
Error	10-05-2026 23:56:08	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the WSearch service.
Error	11-05-2026 04:26:49	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the DoSvc service.
Error	11-05-2026 03:39:13	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the W32Time service.
Error	11-05-2026 01:39:17	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the RasMan service.
Error	03-01-2026 05:07:38	Microsoft-Windows-TPM-WMI	1796	None	The Secure Boot update failed to update SBAT with error Unknown HResult Error code: 0x800700c1. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931
Error	31-01-2026 13:32:23	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9MSSGKG348SP-MicrosoftWindows.Client.WebExperience.
Error	10-05-2026 19:41:42	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the gpsvc service.
Error	10-05-2026 21:41:51	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the hpqcaslwmiex service.
Error	10-05-2026 19:42:21	Service Control Manager	7011	None	A timeout (30000 milliseconds) was reached while waiting for a transaction response from the wuauserv service.
Error	11-05-2026 12:27:27	Microsoft-Windows-TPM-WMI	1796	None	The Secure Boot update failed to update SBAT with error Unknown HResult Error code: 0x800700c1. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931
Error	11-05-2026 12:27:16	Microsoft-Windows-NDIS	10317	PnP	Miniport Microsoft Wi-Fi Direct Virtual Adapter #2, {6173400f-421e-489b-98be-1b36163f0020}, had event Fatal error: The miniport has failed a power transition to operational power
Error	03-01-2026 21:05:21	Microsoft-Windows-TPM-WMI	1796	None	The Secure Boot update failed to update SBAT with error Unknown HResult Error code: 0x800700c1. For more information, please see https://go.microsoft.com/fwlink/?linkid=2169931
Error	11-05-2026 12:39:12	Microsoft-Windows-DistributedCOM	10010	None	The server {08728914-3F57-4D52-9E31-49DAECA5A80A} did not register with DCOM within the required timeout.
Error	31-01-2026 12:40:30	Microsoft-Windows-WindowsUpdateClient	20	Windows Update Agent	Installation Failure: Windows failed to install the following update with error 0x80073D02: 9NMPJ99VJBWV-Microsoft.YourPhone.
