Level	Date and Time	Source	Event ID	Task Category
Warning	1/22/2026 9:46:02 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/23/2026 9:17:21 AM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:46:02 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:46:02 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/23/2026 9:16:11 AM	Microsoft-Windows-Search	1008	Search service	The Windows Search Service is starting up and attempting to remove the old search index {Reason: Full Index Reset}. 

Warning	1/23/2026 9:17:21 AM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.CloudExperienceHost_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/23/2026 9:19:03 AM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.LockApp_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/23/2026 9:19:03 AM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.LockApp_cw5n1h2txyewy hit error -2147024894.
Warning	1/23/2026 9:16:19 AM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/23/2026 9:16:19 AM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy hit error -2147024894.
Warning	1/27/2026 5:25:48 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/27/2026 5:25:48 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/23/2026 10:28:00 AM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy hit error -2147024894.
Warning	2/3/2026 11:46:10 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:46:10 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/13/2026 10:35:54 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/13/2026 10:35:54 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:46:10 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/23/2026 10:28:00 AM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.OOBENetworkConnectionFlow_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	2/13/2026 10:35:54 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/27/2026 5:25:48 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package MicrosoftWindows.Client.CBS_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:21:14 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:21:14 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:46:39 PM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:21:14 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:48:38 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.AAD.BrokerPlugin_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:46:39 PM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:46:39 PM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	2/3/2026 11:48:33 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:48:32 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:47:22 PM	Microsoft-Windows-Winlogon	6004	None	The winlogon notification subscriber <TrustedInstaller> failed a critical notification event.
Warning	2/3/2026 11:48:33 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:47:53 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:47:53 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:11:20 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:11:20 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	2/3/2026 11:48:01 AM	Microsoft-Windows-Winlogon	6004	None	The winlogon notification subscriber <TrustedInstaller> failed a critical notification event.
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.StartMenuExperienceHost_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package MicrosoftWindows.Client.CBS_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:48:37 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.ContentDeliveryManager_cw5n1h2txyewy hit error -2147024894.
Warning	2/3/2026 11:47:37 AM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:47:42 AM	Microsoft-Windows-Winlogon	6006	None	The winlogon notification subscriber <TrustedInstaller> took 67 second(s) to handle the notification event (CreateSession).
Warning	1/22/2026 9:46:39 PM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:46:39 PM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 10:01:15 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.LockApp_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 10:01:15 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.LockApp_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	2/13/2026 10:34:51 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:56:14 PM	Microsoft-Windows-AppModel-State	23	None	Triggered repair of state locations because operation InitializeDataChangedSignaler against package Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy hit error -2147024894.
Warning	1/22/2026 9:56:15 PM	Microsoft-Windows-AppModel-State	24	None	Repair of state locations for operation InitializeDataChangedSignaler against package Microsoft.Windows.ShellExperienceHost_cw5n1h2txyewy with error -2147024894 returned Error Code: 0
Warning	1/22/2026 9:47:53 PM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:00:22 PM	Microsoft-Windows-RestartManager	10010	None	Application 'C:\Windows\System32\WWAHost.exe' (pid 6140) cannot be restarted - Application SID does not match Conductor SID..
Warning	1/22/2026 9:00:22 PM	Microsoft-Windows-RestartManager	10010	None	Application 'C:\Windows\explorer.exe' (pid 6440) cannot be restarted - Application SID does not match Conductor SID..
Warning	2/13/2026 10:35:25 AM	Microsoft-Windows-Winlogon	6004	None	The winlogon notification subscriber <TrustedInstaller> failed a critical notification event.
Warning	2/13/2026 10:34:51 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/13/2026 10:34:51 AM	Microsoft-Windows-WMI	63	None	A provider, IntelMEProv, has been registered in the Windows Management Instrumentation namespace root\Intel_ME to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	1/22/2026 9:00:22 PM	Microsoft-Windows-RestartManager	10010	None	Application 'C:\Windows\System32\RuntimeBroker.exe' (pid 5412) cannot be restarted - Application SID does not match Conductor SID..
Warning	2/3/2026 11:47:34 AM	Microsoft-Windows-Winlogon	6005	None	The winlogon notification subscriber <TrustedInstaller> is taking long time to handle the notification event (CreateSession).
Warning	2/3/2026 11:47:37 AM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:47:37 AM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv1, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:47:36 AM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
Warning	2/3/2026 11:47:36 AM	Microsoft-Windows-WMI	63	None	A provider, DMWmiBridgeProv, has been registered in the Windows Management Instrumentation namespace root\cimv2\mdm\dmmap to use the LocalSystem account. This account is privileged and the provider may cause a security violation if it does not correctly impersonate user requests.
